,Company Name,Datum,Status Rocket,Costs (Mio. USD),Status Mission,Site,Country,Rocket,Satellite
0,SpaceX,"Fri Aug 07, 2020 05:12 UTC",StatusActive,50.0 ,Success,"['LC-39A, Kennedy Space Center, Florida']",[' USA'],['Falcon 9 Block 5'],['Starlink V1 L9 & BlackSky']
1,CASC,"Thu Aug 06, 2020 04:01 UTC",StatusActive,29.75 ,Success,"['Site 9401 (SLS-2), Jiuquan Satellite Launch Center']",[' China'],['Long March 2D'],['Gaofen-9 04 & Q-SAT']
2,SpaceX,"Tue Aug 04, 2020 23:57 UTC",StatusActive,,Success,"['Pad A, Boca Chica, Texas']",[' USA'],['Starship Prototype'],['150 Meter Hop']
3,Roscosmos,"Thu Jul 30, 2020 21:25 UTC",StatusActive,65.0 ,Success,"['Site 200/39, Baikonur Cosmodrome']",[' Kazakhstan'],['Proton-M/Briz-M'],['Ekspress-80 & Ekspress-103']
4,ULA,"Thu Jul 30, 2020 11:50 UTC",StatusActive,145.0 ,Success,"['SLC-41, Cape Canaveral AFS, Florida']",[' USA'],['Atlas V 541'],['Perseverance']
5,CASC,"Sat Jul 25, 2020 03:13 UTC",StatusActive,64.68 ,Success,"['LC-9, Taiyuan Satellite Launch Center']",[' China'],['Long March 4B'],"['Ziyuan-3 03, Apocalypse-10 & NJU-HKU 1']"
6,Roscosmos,"Thu Jul 23, 2020 14:26 UTC",StatusActive,48.5 ,Success,"['Site 31/6, Baikonur Cosmodrome']",[' Kazakhstan'],['Soyuz 2.1a'],['Progress MS-15']
7,CASC,"Thu Jul 23, 2020 04:41 UTC",StatusActive,,Success,"['LC-101, Wenchang Satellite Launch Center']",[' China'],['Long March 5'],['Tianwen-1']
8,SpaceX,"Mon Jul 20, 2020 21:30 UTC",StatusActive,50.0 ,Success,"['SLC-40, Cape Canaveral AFS, Florida']",[' USA'],['Falcon 9 Block 5'],['ANASIS-II']
9,JAXA,"Sun Jul 19, 2020 21:58 UTC",StatusActive,90.0 ,Success,"['LA-Y1, Tanegashima Space Center']",[' Japan'],['H-IIA 202'],['Hope Mars Mission']
10,Northrop,"Wed Jul 15, 2020 13:46 UTC",StatusActive,46.0 ,Success,"['LP-0B, Wallops Flight Facility, Virginia']",[' USA'],['Minotaur IV'],['NROL-129']
11,ExPace,"Fri Jul 10, 2020 04:17 UTC",StatusActive,28.3 ,Failure,"['Site 95, Jiuquan Satellite Launch Center']",[' China'],['Kuaizhou 11'],"['Jilin-1 02E, CentiSpace-1 S2']"
12,CASC,"Thu Jul 09, 2020 12:11 UTC",StatusActive,29.15 ,Success,"['LC-3, Xichang Satellite Launch Center']",[' China'],['Long March 3B/E'],['Apstar-6D']
13,IAI,"Mon Jul 06, 2020 01:00 UTC",StatusActive,,Success,"['Pad 1, Palmachim Airbase']",[' Israel'],['Shavit-2'],['Ofek-16']
14,CASC,"Sat Jul 04, 2020 23:44 UTC",StatusActive,29.75 ,Success,"['Site 9401 (SLS-2), Jiuquan Satellite Launch Center']",[' China'],['Long March 2D'],['Shiyan-6 02']
15,Rocket Lab,"Sat Jul 04, 2020 21:19 UTC",StatusActive,7.5 ,Failure,"['Rocket Lab LC-1A, M?\x81hia Peninsula']",[' New Zealand'],['Electron/Curie'],['Pics Or It Didn??¦t Happen']
16,CASC,"Fri Jul 03, 2020 03:10 UTC",StatusActive,64.68 ,Success,"['LC-9, Taiyuan Satellite Launch Center']",[' China'],['Long March 4B'],['Gaofen Duomo & BY-02']
17,SpaceX,"Tue Jun 30, 2020 20:10 UTC",StatusActive,50.0 ,Success,"['SLC-40, Cape Canaveral AFS, Florida']",[' USA'],['Falcon 9 Block 5'],['GPS III SV03']
18,CASC,"Tue Jun 23, 2020 01:43 UTC",StatusActive,29.15 ,Success,"['LC-2, Xichang Satellite Launch Center']",[' China'],['Long March 3B/E'],['Beidou-3 G3']
19,CASC,"Wed Jun 17, 2020 07:19 UTC",StatusActive,29.75 ,Success,"['Site 9401 (SLS-2), Jiuquan Satellite Launch Center']",[' China'],['Long March 2D'],"['Gaofen-9 03, Pixing III A & HEAD-5']"
20,SpaceX,"Sat Jun 13, 2020 09:21 UTC",StatusActive,50.0 ,Success,"['SLC-40, Cape Canaveral AFS, Florida']",[' USA'],['Falcon 9 Block 5'],['Starlink V1 L8 & SkySat 16 to 18']
21,Rocket Lab,"Sat Jun 13, 2020 05:12 UTC",StatusActive,7.5 ,Success,"['Rocket Lab LC-1A, M?\x81hia Peninsula']",[' New Zealand'],['Electron/Curie'],"[""Don't stop me now!""]"
22,CASC,"Wed Jun 10, 2020 18:31 UTC",StatusActive,30.8 ,Success,"['LC-9, Taiyuan Satellite Launch Center']",[' China'],['Long March 2C'],['Haiyang-1D']
23,SpaceX,"Thu Jun 04, 2020 01:25 UTC",StatusActive,50.0 ,Success,"['SLC-40, Cape Canaveral AFS, Florida']",[' USA'],['Falcon 9 Block 5'],['Starlink V1 L7']
24,CASC,"Sun May 31, 2020 08:53 UTC",StatusActive,29.75 ,Success,"['Site 9401 (SLS-2), Jiuquan Satellite Launch Center']",[' China'],['Long March 2D'],['Gaofen-9-02 & HEAD-4']
25,SpaceX,"Sat May 30, 2020 19:22 UTC",StatusActive,50.0 ,Success,"['LC-39A, Kennedy Space Center, Florida']",[' USA'],['Falcon 9 Block 5'],['SpaceX Demo-2']
26,CASC,"Fri May 29, 2020 20:13 UTC",StatusActive,5.3 ,Success,['Xichang Satellite Launch Center'],[' China'],['Long March 11'],['XJS-G and XJS-H']
27,Virgin Orbit,"Mon May 25, 2020 19:50 UTC",StatusActive,12.0 ,Failure,"['Cosmic Girl, Mojave Air and Space Port, California']",[' USA'],['LauncherOne'],['Demo Flight']
28,VKS RF,"Fri May 22, 2020 07:31 UTC",StatusActive,,Success,"['Site 43/4, Plesetsk Cosmodrome']",[' Russia'],['Soyuz 2.1b/Fregat-M'],['Cosmos 2546']
29,MHI,"Wed May 20, 2020 17:31 UTC",StatusRetired,112.5 ,Success,"['LA-Y2, Tanegashima Space Center']",[' Japan'],['H-IIB'],['HTV-9']
30,ULA,"Sun May 17, 2020 13:14 UTC",StatusActive,120.0 ,Success,"['SLC-41, Cape Canaveral AFS, Florida']",[' USA'],['Atlas V 501'],['OTV-6 (USSF-7)']
31,ExPace,"Tue May 12, 2020 01:16 UTC",StatusActive,,Success,"['Site 95, Jiuquan Satellite Launch Center']",[' China'],['Kuaizhou 1A'],['Xingyun-2 01 (Wuhan) & 02']
